Date,Temperature,Humidity,Precipitation
2023-08-01,0,65,0.0
2023-08-02,35.0,60,0.2
2023-08-03,0,65,10.0
2023-08-04,35.0,60,0.2
2023-08-05,50.5,65,1.0
2023-08-06,51.0,60,0.2
2023-08-07,54.5,65,0.0
2023-08-08,40.0,60,0.2
2023-08-09,0,65,0.0
2023-08-10,35.0,60,0.2
2023-08-11,0,65,10.0
2023-08-12,35.0,60,0.2
2023-08-13,50.5,65,1.0
2023-08-14,51.0,60,0.2
2023-08-15,54.5,65,0.0
2023-08-16,0,65,0.0
2023-08-17,35.0,60,0.2
2023-08-18,0,65,10.0
2023-08-19,35.0,60,0.2
2023-08-20,50.5,65,1.0
2023-08-21,51.0,60,0.2
2023-08-22,54.5,65,0.0
2023-08-23,40.0,60,0.2
2023-08-24,0,65,0.0
2023-08-25,35.0,60,0.2
2023-08-26,0,65,10.0
2023-08-27,35.0,60,0.2
2023-08-28,50.5,65,1.0
2023-08-29,51.0,60,0.2
2023-08-30,54.5,65,0.0

